 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle
1,415668.000,583.500,723.000,2285.522,218.000,361.000,731.000,724.000,731.011,723.991,0.000
2,78.538,8.021,9.938,31.416,2.997,4.962,10.048,9.952,10.048,9.952,0.000
3,0.024,6.852,8.440,0.542,6.777,8.344,0.151,0.192,0.198,0.153,90.000
4,0.021,6.845,8.811,0.522,6.777,8.715,0.137,0.192,0.194,0.139,90.000
5,0.021,6.845,9.155,0.522,6.777,9.058,0.137,0.192,0.194,0.139,90.000
6,0.018,6.845,9.512,0.476,6.777,9.430,0.137,0.165,0.164,0.141,90.000
7,0.013,6.838,9.849,0.389,6.777,9.787,0.124,0.124,0.129,0.129,0.000
8,0.015,7.313,9.842,0.432,7.244,9.773,0.137,0.137,0.139,0.139,0.000
9,0.017,7.313,9.574,0.460,7.258,9.485,0.110,0.179,0.186,0.114,90.000
10,0.017,7.320,9.258,0.479,7.258,9.168,0.124,0.179,0.175,0.122,90.000
11,0.020,7.306,8.921,0.497,7.230,8.838,0.151,0.165,0.168,0.149,90.000
12,0.015,7.326,8.550,0.436,7.271,8.467,0.110,0.165,0.171,0.113,90.000
13,0.019,7.821,8.419,0.499,7.753,8.330,0.137,0.179,0.180,0.137,90.000
14,0.020,7.814,8.784,0.497,7.739,8.701,0.151,0.165,0.168,0.149,90.000
15,0.048,7.856,9.148,0.778,7.739,9.017,0.234,0.261,0.260,0.236,90.000
16,0.018,7.808,9.471,0.476,7.739,9.388,0.137,0.165,0.164,0.141,90.000
17,0.017,7.801,9.821,0.479,7.739,9.732,0.124,0.179,0.175,0.122,90.000
18,0.013,8.261,9.808,0.411,8.192,9.746,0.137,0.124,0.136,0.124,0.000
19,0.016,8.282,9.540,0.456,8.220,9.457,0.124,0.165,0.160,0.126,90.000
20,0.012,8.296,9.203,0.393,8.247,9.127,0.096,0.151,0.153,0.096,90.000
21,0.019,8.302,8.873,0.499,8.234,8.784,0.137,0.179,0.180,0.137,90.000
22,0.011,8.302,8.515,0.367,8.247,8.454,0.110,0.124,0.127,0.114,90.000
23,0.010,8.784,8.536,0.345,8.729,8.481,0.110,0.110,0.112,0.112,0.000
24,0.015,8.797,8.742,0.432,8.729,8.674,0.137,0.137,0.139,0.139,0.000
25,0.011,8.797,9.065,0.367,8.742,9.003,0.110,0.124,0.127,0.114,90.000
26,0.008,8.777,9.416,0.324,8.729,9.361,0.096,0.110,0.109,0.097,90.000
27,0.010,8.797,9.787,0.345,8.742,9.732,0.110,0.110,0.112,0.112,0.000
28,0.018,8.770,10.474,0.476,8.701,10.392,0.137,0.165,0.164,0.141,90.000
29,0.015,7.918,10.529,0.432,7.849,10.460,0.137,0.137,0.139,0.139,0.000
30,0.023,6.942,10.550,0.540,6.859,10.460,0.165,0.179,0.179,0.167,90.000
31,0.020,6.000,10.034,0.497,5.924,9.952,0.151,0.165,0.168,0.149,90.000
32,0.016,6.000,9.306,0.456,5.938,9.223,0.124,0.165,0.160,0.126,90.000
33,0.014,5.993,8.612,0.413,5.938,8.536,0.110,0.151,0.156,0.111,90.000
34,0.017,6.021,7.897,0.460,5.966,7.808,0.110,0.179,0.186,0.114,90.000
35,0.013,6.893,7.876,0.411,6.832,7.808,0.124,0.137,0.136,0.124,90.000
36,0.016,7.835,7.828,0.454,7.766,7.753,0.137,0.151,0.150,0.138,90.000
37,0.020,8.804,7.766,0.497,8.729,7.684,0.151,0.165,0.168,0.149,90.000
38,0.019,9.746,7.739,0.533,9.691,7.629,0.110,0.220,0.213,0.113,90.000
39,0.015,9.753,8.323,0.433,9.691,8.247,0.124,0.151,0.150,0.126,90.000
40,0.014,9.780,9.065,0.442,9.691,9.017,0.179,0.096,0.182,0.099,0.000
41,0.011,9.739,9.746,0.367,9.677,9.691,0.124,0.110,0.127,0.114,0.000
42,0.016,9.746,10.440,0.454,9.677,10.364,0.137,0.151,0.150,0.138,90.000
43,0.022,9.766,11.856,0.519,9.691,11.766,0.151,0.179,0.183,0.151,90.000
44,0.017,7.979,11.938,0.479,7.918,11.849,0.124,0.179,0.175,0.122,90.000
45,0.018,6.027,12.034,0.475,5.952,11.959,0.151,0.151,0.153,0.153,0.000
46,0.015,4.048,10.838,0.433,3.986,10.763,0.124,0.151,0.150,0.126,90.000
47,0.013,4.034,9.402,0.411,3.973,9.333,0.124,0.137,0.136,0.124,90.000
48,0.016,4.021,7.959,0.454,3.945,7.890,0.151,0.137,0.150,0.138,0.000
49,0.016,5.883,6.467,0.454,5.814,6.392,0.137,0.151,0.150,0.138,90.000
50,0.011,7.821,6.412,0.367,7.766,6.351,0.110,0.124,0.127,0.114,90.000
51,0.012,9.787,6.351,0.390,9.718,6.296,0.137,0.110,0.142,0.109,0.000
52,0.014,11.725,10.344,0.413,11.670,10.268,0.110,0.151,0.156,0.111,90.000
53,0.012,11.739,11.753,0.390,11.684,11.684,0.110,0.137,0.142,0.109,90.000
