 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Length
1,410006.000,579.000,722.500,2269.801,218.000,361.000,722.000,723.000,723.016,722.025,90.000,0.000
2,78.544,8.014,10.000,31.416,3.017,4.997,9.993,10.007,10.007,9.993,90.000,0.000
3,0.107,7.924,10.660,7.744,4.055,10.408,7.751,0.512,0.000,0.000,3.698,7.744
4,0.021,6.893,8.498,0.525,6.824,8.401,0.138,0.194,0.196,0.140,90.000,0.000
5,0.017,6.893,8.879,0.463,6.837,8.789,0.111,0.180,0.187,0.115,90.000,0.000
6,0.017,6.900,9.225,0.482,6.837,9.135,0.125,0.180,0.177,0.123,90.000,0.000
7,0.015,6.886,9.585,0.436,6.824,9.509,0.125,0.152,0.151,0.127,90.000,0.000
8,0.013,6.886,9.910,0.413,6.824,9.841,0.125,0.138,0.137,0.125,90.000,0.000
9,0.020,7.356,9.910,0.500,7.280,9.827,0.152,0.166,0.170,0.150,90.000,0.000
10,0.017,7.363,9.640,0.463,7.308,9.550,0.111,0.180,0.187,0.115,90.000,0.000
11,0.014,7.370,9.322,0.445,7.322,9.232,0.097,0.180,0.183,0.100,90.000,0.000
12,0.020,7.356,8.983,0.500,7.280,8.900,0.152,0.166,0.170,0.150,90.000,0.000
13,0.016,7.384,8.609,0.459,7.322,8.526,0.125,0.166,0.161,0.127,90.000,0.000
14,0.025,7.882,8.478,0.569,7.806,8.374,0.152,0.208,0.206,0.157,90.000,0.000
15,0.022,7.869,8.837,0.523,7.792,8.747,0.152,0.180,0.184,0.152,90.000,0.000
16,0.066,7.917,9.218,0.914,7.779,9.066,0.277,0.304,0.304,0.276,90.000,0.000
17,0.027,7.862,9.557,0.589,7.779,9.453,0.166,0.208,0.208,0.164,90.000,0.000
18,0.017,7.855,9.889,0.482,7.792,9.799,0.125,0.180,0.177,0.123,90.000,0.000
19,0.016,8.304,9.889,0.457,8.235,9.813,0.138,0.152,0.151,0.139,90.000,0.000
20,0.016,8.339,9.606,0.459,8.277,9.522,0.125,0.166,0.161,0.127,90.000,0.000
21,0.016,8.367,9.273,0.459,8.304,9.190,0.125,0.166,0.161,0.127,90.000,0.000
22,0.022,8.367,8.934,0.523,8.291,8.844,0.152,0.180,0.184,0.152,90.000,0.000
23,0.016,8.367,8.595,0.459,8.304,8.512,0.125,0.166,0.161,0.127,90.000,0.000
24,0.020,8.851,8.561,0.530,8.789,8.457,0.125,0.208,0.206,0.127,90.000,0.000
25,0.016,8.851,8.803,0.459,8.789,8.720,0.125,0.166,0.161,0.127,90.000,0.000
26,0.018,8.844,9.135,0.479,8.775,9.052,0.138,0.166,0.165,0.142,90.000,0.000
27,0.013,8.837,9.488,0.391,8.775,9.426,0.125,0.125,0.130,0.130,0.000,0.000
28,0.016,8.858,9.848,0.457,8.789,9.772,0.138,0.152,0.151,0.139,90.000,0.000
29,0.022,8.837,10.554,0.523,8.761,10.464,0.152,0.180,0.184,0.152,90.000,0.000
30,0.024,7.972,10.609,0.544,7.889,10.519,0.166,0.180,0.180,0.168,90.000,0.000
31,0.021,6.048,10.104,0.522,5.965,10.021,0.166,0.166,0.165,0.165,0.000,0.000
32,0.018,6.035,9.370,0.479,5.965,9.287,0.138,0.166,0.165,0.142,90.000,0.000
33,0.014,6.035,8.671,0.416,5.979,8.595,0.111,0.152,0.157,0.112,90.000,0.000
34,0.017,6.055,7.952,0.482,5.993,7.862,0.125,0.180,0.177,0.123,90.000,0.000
35,0.020,6.941,7.931,0.500,6.865,7.848,0.152,0.166,0.170,0.150,90.000,0.000
36,0.020,7.889,7.882,0.500,7.806,7.806,0.166,0.152,0.170,0.150,0.000,0.000
37,0.022,8.865,7.827,0.523,8.789,7.737,0.152,0.180,0.184,0.152,90.000,0.000
38,0.025,9.813,7.792,0.573,9.744,7.682,0.138,0.221,0.226,0.138,90.000,0.000
39,0.028,9.834,8.388,0.587,9.744,8.291,0.180,0.194,0.196,0.182,90.000,0.000
40,0.011,9.813,9.820,0.370,9.758,9.758,0.111,0.125,0.128,0.115,90.000,0.000
41,0.019,9.820,10.512,0.478,9.744,10.436,0.152,0.152,0.154,0.154,0.000,0.000
42,0.021,9.841,11.945,0.525,9.772,11.848,0.138,0.194,0.196,0.140,90.000,0.000
43,0.020,8.028,12.021,0.502,7.958,11.931,0.138,0.180,0.181,0.138,90.000,0.000
44,0.020,6.062,12.118,0.502,5.993,12.028,0.138,0.180,0.181,0.138,90.000,0.000
45,0.024,4.048,9.453,0.545,3.972,9.356,0.152,0.194,0.199,0.155,90.000,0.000
46,0.018,4.055,8.014,0.479,3.986,7.931,0.138,0.166,0.165,0.142,90.000,0.000
47,0.022,5.931,6.512,0.523,5.855,6.422,0.152,0.180,0.184,0.152,90.000,0.000
48,0.013,7.875,6.457,0.413,7.806,6.394,0.138,0.125,0.137,0.125,0.000,0.000
49,0.019,9.848,6.388,0.478,9.772,6.311,0.152,0.152,0.154,0.154,0.000,0.000
50,0.015,11.799,10.415,0.436,11.737,10.339,0.125,0.152,0.151,0.127,90.000,0.000
51,0.020,11.813,11.834,0.500,11.737,11.751,0.152,0.166,0.170,0.150,90.000,0.000
