 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Length
1,157648.000,329.000,938.000,1407.434,105.000,714.000,448.000,448.000,448.022,448.022,0.000,0.000
2,78.346,7.299,20.881,31.380,2.277,15.914,10.044,9.933,10.043,9.932,0.000,0.000
3,0.011,7.720,20.787,0.494,7.477,20.780,0.513,0.045,0.000,0.000,3.671,0.494
4,0.011,8.200,20.727,0.495,7.946,20.691,0.513,0.089,0.000,0.000,7.285,0.495
5,0.011,8.681,20.657,0.488,8.437,20.624,0.513,0.089,0.000,0.000,8.547,0.488
6,0.011,9.162,20.626,0.478,8.928,20.624,0.491,0.022,0.000,0.000,0.167,0.478
7,0.012,6.237,20.842,0.516,5.982,20.825,0.536,0.045,0.000,0.000,1.858,0.516
8,0.012,5.759,20.877,0.503,5.513,20.847,0.513,0.089,0.000,0.000,7.651,0.503
9,0.012,5.259,20.945,0.514,5.000,20.936,0.536,0.045,0.000,0.000,3.111,0.514
10,0.013,6.970,16.888,0.565,6.964,16.606,0.045,0.580,0.000,0.000,-86.600,0.565
11,0.012,6.996,17.419,0.533,6.986,17.164,0.045,0.536,0.000,0.000,-86.399,0.533
12,0.010,6.992,17.901,0.444,6.986,17.678,0.045,0.469,0.000,0.000,-92.880,0.444
13,0.014,6.997,18.413,0.600,7.009,18.124,0.022,0.603,0.000,0.000,90.000,0.600
14,0.011,7.004,18.963,0.494,7.009,18.727,0.022,0.513,0.000,0.000,-88.382,0.494
15,0.013,7.007,19.463,0.558,7.009,19.195,0.022,0.580,0.000,0.000,-91.146,0.558
16,0.012,7.020,20.006,0.544,7.009,19.731,0.045,0.580,0.000,0.000,-86.864,0.544
17,0.012,7.018,20.534,0.527,7.009,20.267,0.045,0.558,0.000,0.000,-92.428,0.527
18,0.013,7.028,21.068,0.577,7.009,20.780,0.067,0.603,0.000,0.000,-85.006,0.577
19,0.012,7.060,21.588,0.545,7.053,21.316,0.045,0.558,0.000,0.000,-87.357,0.545
20,0.011,7.066,22.101,0.488,7.053,21.852,0.045,0.513,0.000,0.000,-91.637,0.488
21,0.013,7.069,22.619,0.558,7.053,22.343,0.045,0.580,0.000,0.000,-87.995,0.558
22,0.011,7.082,23.129,0.478,7.076,22.901,0.022,0.491,0.000,0.000,-90.223,0.478
23,0.011,7.092,23.607,0.464,7.076,23.369,0.067,0.491,0.000,0.000,-85.865,0.464
24,0.012,7.184,25.124,0.502,7.187,24.865,0.022,0.536,0.000,0.000,-88.727,0.502
25,0.021,7.009,20.791,0.531,6.942,20.691,0.134,0.201,0.193,0.138,90.000,0.000
