 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Length
1,111954.000,828.500,1167.000,1185.952,640.000,978.000,377.000,378.000,378.042,377.059,90.000,0.000
2,78.769,21.976,30.955,31.458,16.976,25.942,10.000,10.027,10.028,10.002,90.000,0.000
3,0.212,21.334,31.356,7.965,17.374,31.034,7.958,0.663,0.000,0.000,4.608,7.965
4,0.019,18.373,31.116,0.689,18.037,31.088,0.716,0.106,0.000,0.000,6.259,0.689
5,0.019,19.060,31.047,0.685,18.727,31.008,0.690,0.106,0.000,0.000,4.579,0.685
6,0.210,21.320,31.368,7.914,17.374,31.061,7.931,0.637,0.000,0.000,4.389,7.914
7,0.014,17.984,30.897,0.513,17.931,30.663,0.159,0.504,0.000,0.000,104.995,0.513
8,0.014,18.647,30.831,0.514,18.568,30.584,0.186,0.531,0.000,0.000,109.058,0.514
9,0.014,17.984,31.379,0.513,17.931,31.141,0.133,0.531,0.000,0.000,79.077,0.513
10,0.012,18.700,31.751,0.421,18.621,31.565,0.186,0.398,0.000,0.000,114.146,0.421
11,0.018,18.014,32.318,0.642,17.958,32.016,0.159,0.637,0.000,0.000,78.690,0.642
12,0.017,19.350,32.190,0.609,19.310,31.883,0.133,0.637,0.000,0.000,79.974,0.609
13,0.014,17.364,31.429,0.511,17.374,31.167,0.027,0.557,0.000,0.000,90.744,0.511
14,0.018,18.236,30.623,0.638,17.931,30.610,0.663,0.053,0.000,0.000,3.576,0.638
15,0.020,19.042,30.060,0.711,18.700,30.053,0.716,0.053,0.000,0.000,3.209,0.711
16,0.019,18.428,31.973,0.678,18.090,31.963,0.716,0.053,0.000,0.000,3.926,0.678
17,0.049,19.271,31.525,0.750,19.151,31.406,0.239,0.239,0.249,0.249,0.000,0.000
18,0.056,19.284,32.520,0.833,19.151,32.387,0.265,0.265,0.268,0.268,0.000,0.000
