 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle
1,3956668.000,1388.000,1556.500,7051.309,264.000,436.000,2248.000,2241.000,2248.010,2240.998,0.000
2,79.169,6.209,6.962,31.542,1.181,1.950,10.056,10.024,10.056,10.024,0.000
3,0.024,3.697,3.702,0.569,3.628,3.592,0.139,0.219,0.219,0.139,90.000
4,0.020,4.735,3.655,0.501,4.666,3.565,0.139,0.179,0.178,0.139,90.000
5,0.022,5.748,3.681,0.537,5.676,3.583,0.143,0.197,0.197,0.143,90.000
6,0.024,6.694,3.686,0.559,6.620,3.583,0.148,0.206,0.205,0.148,90.000
7,0.019,7.627,3.699,0.516,7.569,3.596,0.116,0.206,0.207,0.117,90.000
8,0.020,8.694,3.650,0.522,8.633,3.547,0.121,0.206,0.206,0.121,90.000
9,0.028,3.670,5.084,0.610,3.592,4.970,0.157,0.228,0.227,0.158,90.000
10,0.025,4.733,5.077,0.587,4.666,4.961,0.134,0.233,0.232,0.135,90.000
11,0.022,5.732,5.084,0.536,5.659,4.988,0.148,0.192,0.193,0.148,90.000
12,0.268,6.790,4.914,1.875,6.544,4.567,0.492,0.693,0.693,0.492,90.000
13,0.026,7.542,5.082,0.580,7.466,4.974,0.152,0.215,0.215,0.153,90.000
14,0.023,8.673,5.050,0.552,8.602,4.947,0.143,0.206,0.205,0.144,90.000
15,0.029,9.588,4.909,0.607,9.505,4.800,0.166,0.219,0.219,0.166,90.000
16,0.028,3.614,6.524,0.619,3.538,6.406,0.152,0.237,0.236,0.152,90.000
17,0.047,4.701,6.504,0.773,4.581,6.379,0.242,0.250,0.251,0.241,90.000
18,0.064,5.768,6.482,0.911,5.645,6.316,0.246,0.331,0.331,0.246,90.000
19,0.096,6.618,6.484,1.096,6.441,6.312,0.353,0.344,0.354,0.345,0.000
20,0.025,7.488,6.379,0.583,7.416,6.267,0.143,0.224,0.223,0.144,90.000
21,0.026,8.618,6.332,0.600,8.548,6.213,0.139,0.237,0.237,0.139,90.000
22,0.018,9.510,6.314,0.489,9.447,6.222,0.125,0.183,0.184,0.126,90.000
23,0.028,3.583,7.951,0.622,3.511,7.828,0.143,0.246,0.247,0.143,90.000
24,0.060,4.661,7.844,0.945,4.563,7.649,0.197,0.389,0.389,0.197,90.000
25,0.029,5.627,7.779,0.605,5.538,7.676,0.179,0.206,0.206,0.179,90.000
26,0.078,6.555,7.718,1.001,6.415,7.542,0.282,0.353,0.353,0.283,90.000
27,0.024,7.517,7.756,0.559,7.443,7.654,0.148,0.206,0.205,0.148,90.000
28,0.021,8.557,7.716,0.521,8.481,7.627,0.152,0.179,0.179,0.152,90.000
29,0.019,9.452,7.709,0.504,9.389,7.613,0.125,0.192,0.193,0.126,90.000
30,0.027,3.554,9.353,0.602,3.476,9.242,0.157,0.224,0.223,0.157,90.000
31,0.036,4.560,9.188,0.686,4.469,9.063,0.183,0.250,0.250,0.184,90.000
32,0.028,5.567,9.181,0.610,5.489,9.067,0.157,0.228,0.227,0.158,90.000
33,0.079,6.553,9.105,1.009,6.415,8.924,0.277,0.362,0.363,0.278,90.000
34,0.022,7.463,9.139,0.549,7.399,9.031,0.130,0.215,0.215,0.130,90.000
35,0.022,8.499,9.110,0.548,8.432,9.004,0.134,0.210,0.210,0.135,90.000
36,0.022,9.434,9.105,0.551,9.371,8.996,0.125,0.219,0.219,0.126,90.000
37,0.028,3.547,10.756,0.598,3.458,10.655,0.179,0.201,0.201,0.179,90.000
38,0.041,4.560,10.568,0.719,4.460,10.440,0.201,0.255,0.256,0.202,90.000
39,0.025,5.565,10.552,0.565,5.489,10.449,0.152,0.206,0.207,0.152,90.000
40,0.022,6.493,10.537,0.536,6.419,10.440,0.148,0.192,0.193,0.148,90.000
41,0.019,7.455,10.501,0.495,7.390,10.409,0.130,0.183,0.184,0.130,90.000
42,0.020,8.477,10.478,0.517,8.410,10.382,0.134,0.192,0.192,0.134,90.000
43,0.023,9.403,10.472,0.552,9.331,10.369,0.143,0.206,0.205,0.144,90.000
