 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Length
1,64665.000,560.500,876.500,901.637,417.000,733.000,287.000,287.000,286.939,286.939,0.000,0.000
2,78.540,19.534,30.547,31.423,14.533,25.545,10.002,10.002,10.000,10.000,0.000,0.000
3,0.055,18.266,27.218,1.525,17.495,27.218,1.568,0.070,0.000,0.000,-1.309,1.525
4,0.055,19.789,27.236,1.533,19.028,27.218,1.568,0.070,0.000,0.000,0.434,1.533
5,0.055,18.125,28.842,1.516,17.356,28.856,1.568,0.035,0.000,0.000,-0.220,1.516
6,0.055,22.557,28.906,1.528,21.782,28.891,1.568,0.070,0.000,0.000,-0.218,1.528
7,0.055,22.464,30.474,1.516,21.712,30.459,1.533,0.070,0.000,0.000,0.220,1.516
8,0.055,19.438,33.579,1.528,18.680,33.596,1.568,0.035,0.000,0.000,0.000,1.528
9,0.055,17.965,31.999,1.545,17.181,31.993,1.603,0.070,0.000,0.000,0.862,1.545
10,0.056,17.242,31.229,1.564,17.216,30.459,0.105,1.603,0.000,0.000,-92.767,1.564
11,0.056,18.761,31.209,1.557,18.750,30.425,0.070,1.603,0.000,0.000,-91.710,1.557
12,0.056,17.167,32.786,1.564,17.147,31.993,0.105,1.603,0.000,0.000,-92.767,1.564
13,0.057,18.703,32.789,1.604,18.680,31.993,0.105,1.638,0.000,0.000,-92.075,1.604
14,0.055,21.683,31.238,1.534,21.677,30.459,0.070,1.568,0.000,0.000,-91.736,1.534
15,0.057,21.750,29.684,1.600,21.712,28.891,0.139,1.638,0.000,0.000,-93.537,1.600
16,0.056,23.277,29.667,1.576,23.245,28.891,0.105,1.603,0.000,0.000,-93.168,1.576
17,0.062,18.837,30.442,0.879,18.680,30.320,0.314,0.244,0.313,0.252,0.000,0.000
