 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle
1,217724.000,598.500,703.000,1654.052,336.000,439.000,525.000,528.000,528.013,525.015,90.000
2,78.543,11.368,13.352,31.416,6.382,8.338,9.972,10.028,10.029,9.972,90.000
3,0.018,10.570,12.298,0.479,10.503,12.213,0.133,0.171,0.171,0.137,90.000
4,0.019,11.567,12.203,0.518,11.510,12.099,0.114,0.209,0.206,0.121,90.000
5,0.019,12.574,12.127,0.518,12.517,12.023,0.114,0.209,0.206,0.121,90.000
6,0.022,12.688,14.122,0.508,12.612,14.036,0.152,0.171,0.175,0.157,90.000
7,0.016,11.785,14.207,0.448,11.719,14.131,0.133,0.152,0.150,0.134,90.000
8,0.023,10.693,14.340,0.539,10.617,14.245,0.152,0.190,0.196,0.150,90.000
9,0.022,10.655,13.457,0.508,10.579,13.371,0.152,0.171,0.175,0.157,90.000
10,0.018,11.633,13.343,0.479,11.567,13.257,0.133,0.171,0.171,0.137,90.000
