 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle
1,370689.000,680.500,830.500,2158.292,335.000,489.000,691.000,683.000,691.011,683.022,0.000
2,78.541,9.905,12.089,31.416,4.876,7.118,10.058,9.942,10.058,9.942,0.000
3,0.130,8.493,10.713,1.315,8.326,10.466,0.335,0.495,0.493,0.336,90.000
4,0.064,9.476,10.662,0.893,9.345,10.509,0.262,0.306,0.310,0.263,90.000
5,0.081,10.488,10.677,1.007,10.335,10.509,0.306,0.335,0.339,0.305,90.000
6,0.368,8.537,11.652,2.150,8.210,11.295,0.655,0.713,0.713,0.658,90.000
7,0.368,9.541,11.652,2.150,9.214,11.295,0.655,0.713,0.713,0.658,90.000
8,0.171,10.619,11.536,1.464,10.393,11.295,0.451,0.480,0.480,0.453,90.000
9,0.233,8.537,12.693,1.719,8.239,12.445,0.597,0.495,0.599,0.495,0.000
10,0.246,9.534,12.627,1.761,9.258,12.344,0.553,0.568,0.566,0.554,90.000
11,0.072,10.371,12.686,0.962,10.233,12.518,0.277,0.335,0.332,0.277,90.000
12,0.134,8.537,13.552,1.308,8.355,13.319,0.364,0.466,0.468,0.364,90.000
13,0.104,9.600,13.515,1.143,9.418,13.333,0.364,0.364,0.363,0.363,0.000
14,0.109,10.539,13.515,1.166,10.349,13.333,0.378,0.364,0.379,0.366,0.000
