 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Length
1,0.023,18.75,29.151,0.534,18.657,29.074,0.185,0.154,0.184,0.158,0,0
2,0.012,18.742,29.144,0.389,18.688,29.074,0.108,0.139,0.139,0.112,90,0
3,0.141,21.155,31.757,9.086,16.62,31.651,9.09,0.231,0,0,-1.29,9.086
4,0.027,18.079,31.705,0.583,17.994,31.605,0.17,0.201,0.205,0.17,90,0
5,0.032,18.318,31.728,0.631,18.225,31.62,0.185,0.216,0.217,0.19,90,0
6,0.02,18.565,31.721,0.509,18.488,31.636,0.154,0.17,0.168,0.155,90,0
7,0.024,18.812,31.705,0.56,18.735,31.605,0.154,0.201,0.202,0.153,90,0
8,0.024,19.059,31.721,0.56,18.981,31.62,0.154,0.201,0.202,0.153,90,0
9,0.025,18.063,31.96,0.558,17.978,31.867,0.17,0.185,0.189,0.167,90,0
10,0.02,18.302,31.968,0.509,18.225,31.883,0.154,0.17,0.168,0.155,90,0
11,0.021,18.542,31.968,0.538,18.472,31.867,0.139,0.201,0.197,0.137,90,0
12,0.027,18.804,31.983,0.583,18.719,31.883,0.17,0.201,0.205,0.17,90,0
13,0.027,19.043,31.975,0.586,18.966,31.867,0.154,0.216,0.218,0.156,90,0
14,0.023,18.048,32.23,0.533,17.963,32.145,0.17,0.17,0.172,0.172,0,0
15,0.025,18.295,32.222,0.558,18.21,32.13,0.17,0.185,0.189,0.167,90,0
16,0.025,18.542,32.222,0.558,18.457,32.13,0.17,0.185,0.189,0.167,90,0
17,0.021,18.789,32.23,0.538,18.719,32.13,0.139,0.201,0.197,0.137,90,0
18,0.021,19.035,32.23,0.538,18.966,32.13,0.139,0.201,0.197,0.137,90,0
19,0.025,18.032,32.485,0.558,17.948,32.392,0.17,0.185,0.189,0.167,90,0
20,0.027,18.272,32.485,0.582,18.179,32.392,0.185,0.185,0.184,0.184,0,0
21,0.027,18.534,32.485,0.582,18.441,32.392,0.185,0.185,0.184,0.184,0,0
22,0.027,18.781,32.485,0.582,18.688,32.392,0.185,0.185,0.184,0.184,0,0
23,0.023,19.035,32.477,0.533,18.951,32.392,0.17,0.17,0.172,0.172,0,0
24,0.025,18.017,32.747,0.558,17.932,32.654,0.17,0.185,0.189,0.167,90,0
25,0.03,18.272,32.739,0.606,18.179,32.639,0.185,0.201,0.201,0.187,90,0
26,0.023,18.519,32.747,0.534,18.441,32.654,0.154,0.185,0.184,0.158,90,0
27,0.027,18.773,32.739,0.583,18.688,32.639,0.17,0.201,0.205,0.17,90,0
28,0.027,19.012,32.731,0.582,18.92,32.639,0.185,0.185,0.184,0.184,0,0
