Laser at 20Hz 200 Pulses
x mirror pos --0.49,VERTICAL SCAN
zpos (mirror mm),charge (nC),Charge/pulse (pc)
0.49,0,0
0.44,0,0
0.39,0.039,0.195
0.34,0.074,0.37
0.29,0.137,0.685
0.24,0.101,0.505
0.19,0.129,0.645
0.14,0.17,0.85
0.09,0.175,0.875
0.04,0.254,1.27
-0.01,0.326,1.63
-0.06,0.633,3.165
-0.11,0.592,2.96
-0.16,0.531,2.655
-0.21,0.355,1.775
-0.26,0.188,0.94
-0.31,0.143,0.715
-0.36,0.073,0.365
-0.41,0.072,0.36
-0.46,0.006,0.03
-0.51,0.224,1.12
-0.56,0.1,0.5
-0.61,0.047,0.235
-0.66,0.036,0.18
-0.71,0,0
-0.76,0,0
